kanji,oc_family_first,oc_family_other,oc_family_last,oc_given_first,oc_given_other,oc_given_last,lc_family_1,lc_family_2,lc_family_3,lc_family_4,lc_given_1,lc_given_2,lc_given_3,lc_given_4
茶,9,0,0,1,0,0,1,7,1,0,0,1,0,0
草,39,3,7,3,0,6,0,46,3,0,0,8,1,0
荒,178,0,1,0,0,0,6,171,2,0,0,0,0,0
荘,2,0,2,8,0,2,0,4,0,0,2,5,3,0
荻,59,0,2,0,0,0,2,59,0,0,0,0,0,0
莉,0,0,0,15,7,4,0,0,0,0,0,16,10,0
菅,151,0,6,0,0,0,22,134,1,0,0,0,0,0
菊,166,0,0,10,0,0,1,165,0,0,0,9,1,0
菜,0,0,1,46,18,40,0,1,0,0,0,53,51,0
華,1,2,1,21,6,30,1,1,2,0,2,40,15,0
菱,11,0,1,0,0,0,0,12,0,0,0,0,0,0
萌,0,0,0,8,0,6,0,0,0,0,6,7,1,0
萩,59,0,4,0,0,0,2,60,1,0,0,0,0,0
萬,8,0,2,4,0,1,2,8,0,0,1,3,1,0
落,31,0,2,0,0,0,0,33,0,0,0,0,0,0
葉,7,0,109,36,3,8,2,113,1,0,0,43,4,0
葛,20,0,1,0,0,0,0,21,0,0,0,0,0,0
蒲,19,0,0,0,0,0,1,17,1,0,0,0,0,0
蔵,7,0,4,0,0,32,2,7,2,0,1,31,0,0
薄,14,0,0,0,0,0,1,13,0,0,0,0,0,0
薗,5,1,8,0,0,0,0,12,2,0,0,0,0,0
薫,0,0,0,5,0,94,0,0,0,0,94,5,0,0
薮,8,0,3,0,0,0,0,11,0,0,0,0,0,0
藍,4,0,0,5,0,12,0,4,0,0,12,5,0,0
藤,829,3,2562,5,0,0,2,3387,5,0,0,4,1,0
虎,0,0,1,8,0,2,0,1,0,0,1,8,1,0
蛭,10,0,0,0,0,0,0,10,0,0,0,0,0,0
蛯,11,0,0,0,0,0,0,11,0,0,0,0,0,0
行,12,0,7,34,0,349,0,19,0,0,1,381,1,0
衛,4,0,0,0,2,15,0,4,0,0,8,6,1,2
衣,11,0,0,9,41,61,0,11,0,0,0,66,45,0
袋,1,1,11,0,0,0,0,12,1,0,0,0,0,0
裕,0,0,0,815,13,269,0,0,0,0,81,938,78,0
西,746,2,283,0,0,0,44,979,7,1,0,0,0,0
要,0,0,0,12,0,17,0,0,0,0,17,9,3,0
見,4,8,189,0,4,19,0,184,17,0,0,19,4,0
規,0,0,0,37,5,48,0,0,0,0,2,78,10,0
覚,0,0,1,2,0,15,0,1,0,0,15,2,0,0
親,3,0,0,5,0,8,0,2,1,0,0,13,0,0
角,76,0,27,3,0,1,9,94,0,0,1,3,0,0
計,2,0,1,3,0,6,0,3,0,0,2,7,0,0
訓,0,0,0,16,0,6,0,0,0,0,1,21,0,0
記,1,0,1,9,7,37,0,2,0,0,0,43,10,0
訪,0,4,12,0,0,0,0,12,4,0,0,0,0,0
詩,0,0,0,10,0,3,0,0,0,0,1,9,3,0
詰,0,0,10,0,0,0,0,10,0,0,0,0,0,0
誉,1,0,0,8,1,5,0,1,0,0,3,10,1,0
誠,0,0,0,165,0,194,0,0,0,0,183,155,21,0
諏,16,0,0,0,0,0,0,12,4,0,0,0,0,0
諒,0,0,0,4,0,9,0,0,0,0,9,4,0,0
諭,0,0,0,9,0,16,0,0,0,0,16,9,0,0
諸,30,0,1,0,0,0,0,27,4,0,0,0,0,0
謙,0,0,0,88,0,22,0,0,0,0,17,78,15,0
譲,0,0,0,11,0,10,0,0,0,0,10,11,0,0
護,1,0,0,0,0,10,1,0,0,0,10,0,0,0
谷,254,178,878,0,0,0,35,1033,241,1,0,0,0,0
豊,88,0,0,61,0,104,2,85,1,0,93,70,2,0
豪,0,0,0,14,0,29,0,0,0,0,23,20,0,0
貝,11,0,30,0,0,0,0,40,1,0,0,0,0,0
貞,11,0,4,46,0,6,0,15,0,0,2,43,7,0
貢,0,0,0,9,0,11,0,0,0,0,10,9,1,0
貫,6,0,27,2,0,0,0,32,1,0,0,2,0,0
貴,10,0,0,472,33,202,0,10,0,0,13,623,71,0
賀,8,30,157,14,19,10,0,149,45,1,0,19,24,0
資,0,0,0,5,1,14,0,0,0,0,1,18,1,0
賢,0,0,0,170,0,44,0,0,0,0,33,164,17,0
赤,113,0,0,1,0,0,0,111,2,0,0,1,0,0
起,1,0,0,5,25,16,0,1,0,0,0,14,32,0
越,53,0,95,1,0,0,2,141,5,0,0,1,0,0
足,43,0,6,0,0,0,0,48,1,0,0,0,0,0
路,1,0,28,14,0,10,0,25,3,1,0,24,0,0
輔,0,0,0,0,1,289,0,0,0,0,0,283,7,0
輝,0,0,0,66,4,107,0,0,0,0,15,158,4,0
輪,0,0,42,0,0,3,0,42,0,0,0,3,0,0
辰,16,0,0,44,0,2,0,16,0,0,1,42,3,0
辺,1,2,288,0,0,0,0,282,9,0,0,0,0,0
辻,128,0,16,0,0,0,76,68,0,0,0,0,0,0
込,3,0,12,0,0,0,0,15,0,0,0,0,0,0
近,179,0,11,0,0,1,0,189,1,0,0,1,0,0
迫,12,0,30,0,0,0,2,39,1,0,0,0,0,0
透,0,0,0,2,0,27,0,0,0,0,25,4,0,0
通,3,0,3,35,0,20,0,6,0,0,6,49,0,0
造,1,0,1,0,0,44,0,2,0,0,0,43,1,0
進,18,0,0,37,0,50,0,18,0,0,47,27,13,0
逸,2,0,0,16,1,0,0,2,0,0,0,16,1,0
道,22,0,36,107,0,82,0,56,2,0,2,186,1,0
達,3,0,39,232,0,17,1,41,0,0,11,237,1,0
遠,133,3,2,0,0,3,0,135,3,0,0,3,0,0
遥,0,0,0,7,0,7,0,0,0,0,5,9,0,0
遼,0,0,0,7,0,9,0,0,0,0,9,6,1,0
邉,1,0,133,0,0,0,0,132,2,0,0,0,0,0
邊,1,0,111,0,0,0,0,111,1,0,0,0,0,0
那,17,7,0,1,4,9,0,17,7,0,0,9,5,0
邦,0,0,0,141,0,18,0,0,0,0,0,157,2,0
郁,0,0,0,88,0,7,0,0,0,0,4,88,3,0
郎,0,1,0,0,1,1563,0,0,1,0,0,438,1124,2
郡,15,0,2,0,0,0,4,13,0,0,0,0,0,0
部,1,5,593,0,0,0,0,541,55,3,0,0,0,0
郷,7,1,24,7,0,4,1,29,2,0,0,10,1,0
都,27,12,10,9,19,5,1,36,12,0,1,11,21,0
酒,105,1,1,0,0,0,0,105,2,0,0,0,0,0
里,18,1,67,159,114,264,2,72,12,0,0,315,222,0
重,48,6,29,81,15,40,0,77,6,0,0,118,18,0
野,447,120,2190,5,0,12,0,2556,200,1,0,17,0,0
金,365,6,13,7,0,0,15,360,9,0,0,7,0,0
釜,12,0,5,0,0,0,0,16,1,0,0,0,0,0
鈴,596,0,1,11,0,13,1,596,0,0,0,22,2,0
鉄,4,0,0,24,0,1,0,3,1,0,1,24,0,0
鍋,12,1,21,0,0,0,0,33,1,0,0,0,0,0
鎌,50,0,1,1,0,0,0,51,0,0,0,1,0,0
長,532,4,21,15,0,8,7,371,178,1,1,21,1,0
門,54,0,19,0,0,14,0,72,1,0,0,11,1,2
開,5,0,8,0,0,1,3,10,0,0,1,0,0,0
間,23,8,215,0,0,0,2,192,52,0,0,0,0,0
関,173,0,38,0,0,0,65,146,0,0,0,0,0,0
阪,33,0,17,0,0,0,0,50,0,0,0,0,0,0
阿,212,0,0,5,0,0,0,190,22,0,0,2,3,0
陸,3,0,1,5,0,1,1,3,0,0,0,5,1,0
陽,0,0,0,329,1,37,0,0,0,0,20,321,26,0
隅,7,0,5,0,0,0,0,12,0,0,0,0,0,0
隆,3,0,0,436,1,256,3,0,0,0,124,555,14,0
隈,2,0,10,0,0,0,0,12,0,0,0,0,0,0
階,2,4,4,0,0,0,1,5,4,0,0,0,0,0
隼,0,0,0,25,0,6,0,0,0,0,5,26,0,0
雄,1,0,0,319,0,592,0,1,0,0,7,818,86,0
雅,0,0,0,620,2,32,0,0,0,0,10,641,2,1
難,16,0,0,0,0,0,0,16,0,0,0,0,0,0
雨,19,0,0,1,0,0,0,19,0,0,0,1,0,0
雪,5,0,0,18,0,34,0,5,0,0,1,51,0,0
雲,2,0,10,1,0,2,0,11,1,0,0,3,0,0
露,12,0,0,1,0,0,0,11,1,0,0,1,0,0
青,269,1,0,3,0,3,2,267,1,0,0,6,0,0
靖,0,0,0,132,0,57,0,0,0,0,41,148,0,0
静,2,0,0,41,0,5,1,1,0,0,5,41,0,0
音,7,0,1,1,3,13,0,8,0,0,0,12,5,0
順,0,0,0,162,0,18,0,0,0,0,13,161,6,0
須,109,17,41,0,4,0,0,145,22,0,0,0,4,0
頭,0,0,36,0,0,0,0,33,1,2,0,0,0,0
頼,6,0,1,15,0,3,0,7,0,0,0,18,0,0
顕,0,0,0,32,0,15,0,0,0,0,5,34,8,0
風,18,2,2,2,0,1,0,18,4,0,0,3,0,0
飛,18,0,2,5,1,1,0,19,1,0,0,5,2,0
飯,180,2,0,0,0,0,0,176,6,0,0,0,0,0
飼,1,0,13,0,0,0,0,14,0,0,0,0,0,0
香,39,0,4,218,91,418,0,41,1,1,39,484,204,0
馨,0,0,0,2,0,12,0,0,0,0,10,2,2,0
馬,91,0,53,0,1,32,1,139,4,0,0,31,2,0
駒,20,0,8,1,0,0,0,28,0,0,0,1,0,0
駿,1,0,0,4,0,5,0,1,0,0,5,3,1,0
高,1069,0,55,113,0,34,4,1107,13,0,6,141,0,0
髙,231,0,15,1,0,0,1,243,2,0,0,1,0,0
鬼,19,0,4,0,0,1,1,22,0,0,0,1,0,0
魚,14,0,0,0,0,0,0,14,0,0,0,0,0,0
鮎,4,0,1,5,0,0,0,5,0,0,0,5,0,0
鳥,56,2,19,0,0,4,0,74,3,0,0,4,0,0
鳴,10,0,0,1,0,0,0,10,0,0,0,1,0,0
鴨,11,0,1,0,0,0,1,10,1,0,0,0,0,0
鵜,24,1,0,0,0,0,0,24,1,0,0,0,0,0
鶴,50,0,5,2,10,23,0,54,1,0,0,25,10,0
鷲,17,0,6,0,0,0,0,21,2,0,0,0,0,0
鷹,7,0,4,2,0,0,0,11,0,0,0,2,0,0
鹿,36,0,13,0,0,0,0,43,6,0,0,0,0,0
麗,0,0,0,19,0,4,0,0,0,0,3,20,0,0
麻,16,0,3,320,0,8,0,19,0,0,0,197,131,0
黒,185,0,46,0,0,0,0,230,1,0,0,0,0,0
齊,64,0,1,1,0,0,0,65,0,0,0,0,1,0
齋,163,0,2,0,0,0,1,164,0,0,0,0,0,0
龍,7,0,0,98,0,19,3,4,0,0,14,83,20,0
﨑,4,0,229,0,0,0,0,229,4,0,0,0,0,0
葵,1,0,0,0,0,9,0,1,0,0,6,3,0,0
